coin,username,NEG,NEU,POS
LTC,cryptowzrd_,0.16279069767441862,0.8255813953488372,0.011627906976744186
LTC,krakenfx,0.3333333333333333,0.6666666666666666,0.0
LTC,litecoin,0.07142857142857142,0.9183673469387755,0.01020408163265306
LTC,ltcfoundation,0.1,0.875,0.025
LTC,rektcapital,0.04819277108433735,0.9156626506024096,0.03614457831325301
LTC,satoshilite,0.42857142857142855,0.47368421052631576,0.09774436090225563
LUNA,cryptomanran,0.23529411764705882,0.7058823529411765,0.058823529411764705
LUNA,cryptowizardd,0.17355371900826447,0.7272727272727273,0.09917355371900827
LUNA,nicolasflamelx,0.25045372050816694,0.7114337568058077,0.038112522686025406
LUNA,remi_tetot,0.13380281690140844,0.795774647887324,0.07042253521126761
LUNA,route2fi,0.14732142857142858,0.7946428571428571,0.05803571428571429
LUNA,terra_money,0.09281437125748503,0.8652694610778443,0.041916167664670656
LUNA,themoonmidas,0.15454545454545454,0.7909090909090909,0.05454545454545454
LUNA,trader_xo,0.15625,0.8125,0.03125
MATIC,0xpolygon,0.11057692307692307,0.8221153846153846,0.0673076923076923
MATIC,cryptogodjohn,0.0,1.0,0.0
MATIC,missnatoshi,0.09929078014184398,0.8581560283687943,0.0425531914893617
MATIC,sandeepnailwal,0.15384615384615385,0.7692307692307693,0.07692307692307693
MATIC,sassal0x,0.2222222222222222,0.7037037037037037,0.07407407407407407
MATIC,thecryptolark,0.19047619047619047,0.7619047619047619,0.047619047619047616
MATIC,watcherguru,0.0,0.9166666666666666,0.08333333333333333
MATIC,whalestats,0.1015625,0.859375,0.0390625
SHIB,army_shiba,0.07931844888366628,0.8231492361927144,0.09753231492361927
SHIB,davidgokhshtein,0.15,0.8,0.05
SHIB,shibaarchives,0.0,0.9230769230769231,0.07692307692307693
SHIB,shibaexpert,0.1111111111111111,0.8888888888888888,0.0
SHIB,shibainuart,0.07482993197278912,0.8843537414965986,0.04081632653061224
SHIB,shibainuhodler,0.15,0.85,0.0
SHIB,shibinfo,0.125,0.875,0.0
SHIB,shibinform,0.16666666666666666,0.6666666666666666,0.16666666666666666
SHIB,shibreports,0.0,0.8333333333333334,0.16666666666666666
SOL,bigcheds,0.0625,0.9125,0.025
SOL,cryptogodjohn,0.13533834586466165,0.7894736842105263,0.07518796992481203
SOL,eylemculculoglu,0.0,1.0,0.0
SOL,lilmoonlambo,0.15789473684210525,0.8070175438596491,0.03508771929824561
SOL,mmcrypto,0.0,0.5,0.5
SOL,traderkoz,0.0979020979020979,0.7762237762237763,0.1258741258741259
SOL,watcherguru,0.03571428571428571,0.7261904761904762,0.23809523809523808
UNI,crypto_dep,0.0,1.0,0.0
UNI,cryptogorgonite,0.0,1.0,0.0
UNI,metisdao,0.15789473684210525,0.8421052631578947,0.0
UNI,missnatoshi,0.375,0.625,0.0
UNI,satoshiripper,0.0,1.0,0.0
UNI,whalestats,0.1568627450980392,0.803921568627451,0.0392156862745098
USDT,bitrueofficial,0.0024875621890547263,0.9925373134328358,0.004975124378109453
USDT,bybit_official,0.1891891891891892,0.8108108108108109,0.0
USDT,cryptowhale,0.5121951219512195,0.47560975609756095,0.012195121951219513
USDT,gate_io,0.25886524822695034,0.7375886524822695,0.0035460992907801418
USDT,hitbtc,0.04878048780487805,0.9512195121951219,0.0
USDT,kucoincom,0.04285714285714286,0.9392857142857143,0.017857142857142856
USDT,latokens,0.03571428571428571,0.9642857142857143,0.0
USDT,mexc_global,0.008097165991902834,0.9919028340080972,0.0
USDT,paoloardoino,0.125,0.8035714285714286,0.07142857142857142
WBTC,cryptocorleon,1.0,0.0,0.0
WBTC,nullpackets,0.0,1.0,0.0
WBTC,whalestats,0.8,0.2,0.0
XRP,bitboy_crypto,0.3142857142857143,0.6285714285714286,0.05714285714285714
XRP,communityflare,0.10273972602739725,0.5616438356164384,0.3356164383561644
XRP,digitalassetbuy,0.28832116788321166,0.6824817518248175,0.029197080291970802
XRP,iamrobertdobbs,0.2222222222222222,0.6888888888888889,0.08888888888888889
XRP,kevin_cage_,0.15714285714285714,0.7952380952380952,0.047619047619047616
XRP,masonversluis,0.20134228187919462,0.7718120805369127,0.026845637583892617
XRP,x__anderson,0.27319587628865977,0.6958762886597938,0.030927835051546393
XRP,xrpcryptowolf,0.2,0.757948717948718,0.04205128205128205
