,datetime,asset,sentiment_positive_total,sentiment_negative_total,dev_activity,dev_activity_change_30d,dev_activity_contributors_count,github_activity_contributors_count,marketcap_usd
91,2021-12-01 00:00:00+00:00,BTC,,,123.0,0.7826086956521738,24.0,87.0,1080977744339.0
92,2021-09-01 00:00:00+00:00,ETH,2310.6301638484,1476.18552339077,453.0,0.6007067137809188,52.0,193.0,450017458312.0
93,2021-09-02 00:00:00+00:00,ETH,2046.1696007847786,1200.4387603402138,238.0,-0.47111111111111115,42.0,175.0,444924932307.0
94,2021-09-03 00:00:00+00:00,ETH,2074.5020744800568,1632.298918068409,244.0,-0.2694610778443114,39.0,173.0,462538485147.0
95,2021-09-04 00:00:00+00:00,ETH,2876.022925376892,1046.418223142624,129.0,-0.6386554621848739,24.0,121.0,456394981337.0
96,2021-09-05 00:00:00+00:00,ETH,1587.735368669033,989.0847154259682,265.0,-0.14239482200647247,25.0,111.0,463997267858.0
97,2021-09-06 00:00:00+00:00,ETH,1346.8727385997772,897.6070442199707,509.0,4.784090909090909,55.0,174.0,461261434464.0
98,2021-09-07 00:00:00+00:00,ETH,1592.7666951417923,1026.3175864815712,504.0,5.8108108108108105,62.0,183.0,402365928843.0
99,2021-09-08 00:00:00+00:00,ETH,1653.5927495360374,935.5316257476807,456.0,0.22252010723860582,58.0,179.0,410741599782.0
100,2021-09-09 00:00:00+00:00,ETH,1758.5596357584,798.3422067165375,553.0,0.08644400785854622,53.0,171.0,402569602098.0
101,2021-09-10 00:00:00+00:00,ETH,1378.1014199852943,836.4103592038155,287.0,-0.31175059952038364,52.0,159.0,377261165406.0
102,2021-09-11 00:00:00+00:00,ETH,1454.3244988918304,926.5769200325012,84.0,-0.7823834196891192,14.0,89.0,384209314701.0
103,2021-09-12 00:00:00+00:00,ETH,1223.9881308674812,830.1226218938828,368.0,0.027932960893854775,21.0,115.0,400686506367.0
104,2021-09-13 00:00:00+00:00,ETH,1048.764387190342,628.9490185379982,507.0,14.363636363636363,59.0,184.0,386087569776.0
105,2021-09-14 00:00:00+00:00,ETH,1307.4786542654037,915.9408245682716,483.0,17.576923076923077,50.0,204.0,403015177032.0
106,2021-09-15 00:00:00+00:00,ETH,1582.6682868599892,1012.4032586812973,633.0,0.5552825552825553,70.0,194.0,424937147897.0
107,2021-09-16 00:00:00+00:00,ETH,1357.4939774870872,671.0614122748375,582.0,0.2409381663113006,53.0,189.0,419815044704.0
108,2021-09-17 00:00:00+00:00,ETH,1020.2929835915565,522.9788343310356,299.0,-0.38095238095238093,44.0,150.0,399552923890.0
109,2021-09-18 00:00:00+00:00,ETH,1445.2981652617455,571.7145767211914,80.0,-0.8135198135198135,31.0,121.0,403535591621.0
110,2021-09-19 00:00:00+00:00,ETH,1131.5991123914719,500.3407278060913,786.0,1.4485981308411215,13.0,108.0,391520172702.0
111,2021-09-20 00:00:00+00:00,ETH,1212.0500419735909,569.2905919551849,456.0,6.354838709677419,58.0,175.0,347997332693.0
112,2021-09-21 00:00:00+00:00,ETH,1591.9350543022156,666.8598312139511,325.0,3.220779220779221,55.0,148.0,325153006769.0
113,2021-09-22 00:00:00+00:00,ETH,2114.582397341728,490.1522444486618,411.0,0.035264483627204024,60.0,175.0,362060838609.0
114,2021-09-23 00:00:00+00:00,ETH,1229.1253287792206,583.3014417886734,392.0,0.05660377358490565,56.0,186.0,371237859101.0
115,2021-09-24 00:00:00+00:00,ETH,1149.5102246403694,476.5489407777786,522.0,0.3523316062176165,62.0,188.0,344941570042.0
116,2021-09-25 00:00:00+00:00,ETH,1430.622611939907,378.1896023154259,166.0,0.0,26.0,118.0,344263323578.0
117,2021-09-26 00:00:00+00:00,ETH,1143.3736824989319,444.11619782447815,957.0,158.5,20.0,166.0,360390447457.0
118,2021-09-27 00:00:00+00:00,ETH,1455.6871955394745,592.3159345388412,615.0,4.747663551401869,64.0,234.0,345350983222.0
119,2021-09-28 00:00:00+00:00,ETH,1078.919999241829,438.49864959716797,471.0,4.607142857142857,61.0,183.0,330459005352.0
120,2021-09-29 00:00:00+00:00,ETH,1461.9747425317764,460.785653591156,562.0,0.2190889370932756,63.0,170.0,335894451616.0
121,2021-09-30 00:00:00+00:00,ETH,1307.6229568719864,543.9638460874557,278.0,-0.5806938159879336,48.0,172.0,353421264860.0
122,2021-10-01 00:00:00+00:00,ETH,1456.0168199539185,567.120294213295,310.0,-0.3156732891832229,59.0,176.0,389475327627.0
123,2021-10-02 00:00:00+00:00,ETH,1278.4473406076431,457.25173568725586,88.0,-0.6302521008403361,24.0,115.0,399433404741.0
124,2021-10-03 00:00:00+00:00,ETH,1062.3259307146072,453.137794315815,84.0,-0.6557377049180328,24.0,119.0,402619122254.0
125,2021-10-04 00:00:00+00:00,ETH,999.9920480847359,532.0952194333076,508.0,2.937984496124031,52.0,177.0,398156802049.0
126,2021-10-05 00:00:00+00:00,ETH,2171.350452363491,578.7240141630173,211.0,-0.20377358490566033,49.0,177.0,414510299768.0
127,2021-10-06 00:00:00+00:00,ETH,1485.0461191534996,640.5712435245514,207.0,-0.5933202357563852,44.0,112.0,421867592042.0
128,2021-10-07 00:00:00+00:00,ETH,1389.221771121025,557.2666041254997,59.0,-0.8829365079365079,25.0,76.0,422788897812.0
129,2021-10-08 00:00:00+00:00,ETH,1432.2174925804138,672.8666227459908,91.0,-0.8004385964912281,25.0,85.0,419983193014.0
