created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count,coin,clean_tweets,tweet_score
2021-11-14 17:10:25 UTC,Litecoin is accepted anywhere VISA is.. the #Litecoin Card converts $LTC at the time of purchase. You can also connect the card with the  #PaywithLitecoin #Hodl #SundayThoughts   https://t.co/rOzz9zoXRD  https://t.co/AR4wXqCPg6,litecoin,"['litecoin', 'paywithlitecoin', 'hodl', 'sundaythoughts']",['ltc'],1670,6602,568,LTC,litecoin is accepted anywhere visa is the  card converts  at the time of purchase you can also connect the card with the,3320.5
2021-11-05 19:00:10 UTC,The Howie Test does not apply to  $XRP - The SEC is going to have to admit that there was nothing in Ripple's contracts that created expectations of profits of purchasers of #XRP. #XRParmy let's go🔥  https://t.co/yyKMGiDn0P,bitboy_crypto,"['xrp', 'xrparmy']",['xrp'],1469,6387,355,XRP,the howie test does not apply to   the sec is going to have to admit that there was nothing in ripple's contracts that created expectations of profits of purchasers of   let's go,3065.75
2021-11-11 11:45:30 UTC,"Value of $1,000 invested 1 year ago:  #Shib: $756,865,000 #AxieInfinity: $472,615 #Terra: $160,000 #Polygon: $109,375 #Solana: $126,840 #Doge: $92,860 #Avalanche: $26,155 #BNB: $22,830 #Cardano: $21,300 #Polkadot: $11,190 #Ethereum: $10,235 #XRP: $4,920 #Bitcoin: $4,015",watcherguru,"['shib', 'axieinfinity', 'terra', 'polygon', 'solana', 'doge', 'avalanche', 'bnb', 'cardano', 'polkadot', 'ethereum', 'xrp', 'bitcoin']",[],1569,5814,708,SOL,value of  invested 1 year ago,3022.5
2021-11-11 11:45:30 UTC,"Value of $1,000 invested 1 year ago:  #Shib: $756,865,000 #AxieInfinity: $472,615 #Terra: $160,000 #Polygon: $109,375 #Solana: $126,840 #Doge: $92,860 #Avalanche: $26,155 #BNB: $22,830 #Cardano: $21,300 #Polkadot: $11,190 #Ethereum: $10,235 #XRP: $4,920 #Bitcoin: $4,015",watcherguru,"['shib', 'axieinfinity', 'terra', 'polygon', 'solana', 'doge', 'avalanche', 'bnb', 'cardano', 'polkadot', 'ethereum', 'xrp', 'bitcoin']",[],1569,5814,708,MATIC,value of  invested 1 year ago,3022.5
2021-09-13 15:58:15 UTC,The Litecoin Foundation has not entered into a partnership with Walmart.,ltcfoundation,[],[],982,7549,1293,LTC,the litecoin foundation has not entered into a partnership with walmart,2869.25
2021-11-21 00:45:11 UTC,"Which of these will happen first in 2022? 🤔  #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $1,000  #Solana: $500 #Chainlink: $100 #Polkadot: $100 #Cardano: $6  #XRP: $4  #SHIB: $0.001 #DOGE: $1  #VeChain: $1 #CRO: $1 #XLM: $1  #MATIC: $4  #SafeMoon: $.000050",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'chainlink', 'polkadot', 'cardano', 'xrp', 'shib', 'doge', 'vechain', 'cro', 'xlm', 'matic', 'safemoon']",[],1263,6299,2629,MATIC,which of these will happen first in 2022,2837.75
2021-11-15 23:13:10 UTC,"Price targets:   #Bitcoin: $100,000  #Ethereum: $10,000 #BNB: $1,000  #Solana: $500 #Cardano: $6  #XRP: $4  #SHIB: $0.01 #DOGE: $1  #VeChain: $1 #MATIC: $4   Which will happen first? 🧐",watcherguru,"['bitcoin', 'ethereum', 'bnb', 'solana', 'cardano', 'xrp', 'shib', 'doge', 'vechain', 'matic']",[],1159,6218,1542,MATIC,price targets                     which will happen first,2713.5
2021-11-22 04:29:46 UTC,Never SELL your…… ❌  $BTC  $BNB  $ETH  $VET $XRP  $CRO $AVAX $SHIB $DOGE  $ADA  $SFM $MATIC  $DOT  $XVG $XLM $LINK  $SOL  $TEL $EGLD  $VRA $FLOKI $KISHU $______???,watcherguru,[],"['btc', 'bnb', 'eth', 'vet', 'xrp', 'cro', 'avax', 'shib', 'doge', 'ada', 'sfm', 'matic', 'dot', 'xvg', 'xlm', 'link', 'sol', 'tel', 'egld', 'vra', 'floki', 'kishu']",1202,6010,4648,MATIC,never sell your,2704.5
2021-11-06 19:00:10 UTC,XRP has one of the most passionate and knowledgeable communities about the use cases and utility of the $XRP token.  #XRParmy is bullish long term because we understand the #XRP ledger and what the token is capable of!  Headway is being made against the SEC behind the scenes.⚡️  https://t.co/O51jAIanHY,bitboy_crypto,"['xrparmy', 'xrp']",['xrp'],1215,5339,440,XRP,xrp has one of the most passionate and knowledgeable communities about the use cases and utility of the  token  is bullish long term because we understand the  ledger and what the token is capable of headway is being made against the sec behind the scenes,2549.75
2021-11-28 10:41:39 UTC,"$LUNA will be top 5,here’s why;  1.Insane Tokenomics (Luna/Terra burn) 2.Great tech 3.Decentralized web 3 money narrative. 4.Charismatic/genius figure head! 5.Strong community- increasing momentum 6. Best VC support-all made insane returns  7.Lots of high caliber complex Projects",cryptomanran,[],['luna'],1044,5356,360,LUNA,will be top 5heres why; 1insane tokenomics (lunaterra burn) 2great tech 3decentralized web 3 money narrative 4charismaticgenius figure head 5strong community increasing momentum 6 best vc supportall made insane returns 7lots of high caliber complex projects,2383.0
2021-09-07 19:16:10 UTC,XRP is definitely one of my top picks for this month. Looking forward to seeing where XRP will be landing with momentum ramping up. Who else is hodling or stack up on $XRP?  #XRPArmy 💪  https://t.co/30wErjw1da,bitboy_crypto,['xrparmy'],['xrp'],962,5648,608,XRP,xrp is definitely one of my top picks for this month looking forward to seeing where xrp will be landing with momentum ramping up who else is hodling or stack up on,2374.0
2021-11-29 21:37:06 UTC,TWITTER NEEDS TO ADD $XRP TIPPING NOT FREAKIN $ETH   I WANT TO BE ABLE TO SEND INSTANT FUNDS WITH NO FEES TO ANYBODY ANYWHERE GLOBALLY 🃏  LIKE AND RT IF YOU AGREE!,masonversluis,[],"['xrp', 'eth']",1297,4236,230,XRP,twitter needs to add  tipping not freakin  i want to be able to send instant funds with no fees to anybody anywhere globally like and rt if you agree,2356.0
2021-10-31 07:15:00 UTC,$LTC must be the largest 2-year long bullish divergence Ive seen in my entire life. On a monthly chart. Insane. This just has to go pull off a sick rally in late Q4. Save this tweet and God have mercy on #Litecoin bears  https://t.co/PW5rPnZS4w,crypto_birb,['litecoin'],['ltc'],970,5269,363,LTC,must be the largest 2year long bullish divergence ive seen in my entire life on a monthly chart insane this just has to go pull off a sick rally in late q4 save this tweet and god have mercy on  bears,2287.25
2021-11-13 20:44:01 UTC,The Metaverse has triggered  the inevitable WEB3 Narrative. It’s my next bet!  Storage:  $AR $FIL $CLS $ARGO  Compute:  $RNDR $AKT $AIOZ  Money:  $LUNA  What else?,cryptomanran,[],"['ar', 'fil', 'cls', 'argo', 'rndr', 'akt', 'aioz', 'luna']",1011,4967,1225,LUNA,the metaverse has triggered the inevitable web3 narrative its my next bet storage     compute    money  what else,2252.75
2021-11-11 11:49:34 UTC,1 like and I buy more $LTC,crypto_birb,[],['ltc'],204,7624,280,LTC,1 like and i buy more,2110.0
2021-09-04 00:08:48 UTC,"If you think #Ethereum is going to replaced, then you likely do not understand it.   #Cardano, #Polkadot, #Avalanche, #Solana etc. are all great projects, but they are not going to replace #Ethereum.",intocryptoverse,"['ethereum', 'cardano', 'polkadot', 'avalanche', 'solana', 'ethereum']",[],484,6009,957,AVAX,if you think  is going to replaced then you likely do not understand it     etc are all great projects but they are not going to replace,1986.25
2021-11-22 18:55:21 UTC,We broke down the number of new projects we are seeing by chain (last 60 days):  Solana          - 31% Ethereum     - 7% ETH Layer 2 - 11% Luna              - 15% AVAX            - 6% Thorchain     - 2% Cardano        - 6% DOT/Kusama- 7% Other              - 15%  Follow the DEVS.,cryptomanran,[],[],743,4959,880,LUNA,we broke down the number of new projects we are seeing by chain (last 60 days) solana  31% ethereum  7% eth layer 2  11% luna  15% avax  6% thorchain  2% cardano  6% dotkusama 7% other  15% follow the devs,1982.75
