hashtags,replies_count,created_at,tweet,language,id,username,name,cashtags,retweets_count,likes_count
"['xrp', 'xrpthestandard']",25,2021-09-15 22:19:49 UTC,BREAKING! SEC / Ethereum vs. Ripple / XRP On Fox Business #xrp #xrpthestandard @ripple   https://t.co/ehVvQszRts,en,1438266331556679684,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],89,394
[],30,2021-09-15 20:53:37 UTC,Hey @CGasparino I heard you on @LizClaman @FoxBusiness laying out the entire mess in the SEC vs. @ripple case.  Where can I get the clip?,en,1438244637022511112,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],153,1040
[],15,2021-09-15 20:44:27 UTC,"With @CGasparino for the first time SEC totally abandoned the ""Ethereum is sufficiently decentralized"" argument and went where they've never gone before (infrastructure built out). Pivoted to safe harbor. I smell a way out.  @ripple attorneys would be all over this.",en,1438242330264354816,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],123,580
[],4,2021-09-15 17:48:57 UTC,@CGasparino @SEC_Enforcement @FoxBusiness @Ripple @ethereum Hey  @CGasparino ask them about this from the Ethereum ICO.  https://t.co/23zcqxgldg,en,1438198165786841093,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],75,375
[],4,2021-09-15 15:41:23 UTC,@CGasparino @Ripple Now I can do it.,en,1438166063208861698,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],4,93
[],22,2021-09-15 15:32:18 UTC,@CGasparino @Ripple because Twitter disarmed me.  I told you this was THE Financial News story Of The Century,en,1438163773525725193,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],73,527
[],91,2021-09-15 15:18:32 UTC,Hey @CGasparino Two things are happening today since you started covering the @ripple SEC case and we started talking about it.  1. Youtube has now disabled thumbnails for crypto channels 2. I now can't quote your tweets. 👀👀👀👀👀,en,1438160311983476747,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],355,1465
[],5,2021-09-15 13:22:04 UTC,@CGasparino @ethereum @SECGov @Ripple Does this answer your question?  https://t.co/owbnvLB6Kf,en,1438130999540527116,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],59,238
[],71,2021-09-15 12:02:38 UTC,"So @GaryGensler ignores the crypto industry and congressmen who are saying there is no clarity in crypto.  He ignores the 30,000+ signature petition by XRP Holders. But he's making plenty of time for Jamie Dimon.  See the problem here??👀👀👀👀 @RepTomEmmer @WarrenDavidson  https://t.co/jcNGFKzMOj",en,1438111012335521797,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],428,1217
[],1,2021-09-15 10:46:25 UTC,@thestandard_xrp @JohnEDeaton1 Wouldn't think of doing anything else.,en,1438091830994907140,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],0,3
"['xrp', 'xrpthestandard']",13,2021-09-14 20:59:24 UTC,For Charles Gasparino: SEC &amp; Ethereum vs. Ripple / XRP / Crypto Industry #xrp #xrpthestandard @ripple  @FoxBusiness @CGasparino   https://t.co/rgK5Q2r9t7,en,1437883704882384902,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],59,235
[],19,2021-09-14 11:23:55 UTC,"July 16, 2019 Ethereum has already gotten it's free pass Consensys has an admitted ""Alliance"" with the SEC This is what @ripple was getting from the SEC @HesterPeirce is literally saying she'll be the scapegoat if they'll just give clarity.👀👀👀👀👀  https://t.co/kj5oxGgnJI",en,1437738879507906568,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],178,527
