id,name,replies_count,created_at,retweets_count,tweet,hashtags,language,cashtags,username,likes_count
1460247482659753988,Algorand,6,2021-11-15 14:05:04 UTC,58,"Tomorrow afternoon, @DeptAgency will be guest speakers at Algorand’s #developer office hour! This session will feature a live demo of AlgoMart, the first white-label open source platform for creating your own #NFT marketplace.   Save your spot now 👉  https://t.co/b45SG4ELBH  https://t.co/NKYPeaewa0","['developer', 'nft']",en,[],algorand,249
1460007215427956742,Algorand,13,2021-11-14 22:10:20 UTC,79,"ICYMI: @VSCO has entered the #NFT space with Exhibitions, the newest NFT experience built on #Algorand’s carbon-negative blockchain. Featured below, Superposition by John Burgess has already sold!  See what else is available:  https://t.co/otkdTzqPqr 🔑 Password: withhonor  https://t.co/7RVb6UDnHF","['nft', 'algorand']",en,[],algorand,303
1459600714158718984,Algorand,12,2021-11-13 19:15:02 UTC,58,"Don’t miss the live demo from @DeptAgency on November 16th! They will be covering the core features of their white-label #NFT marketplace platform, including the @circlepay integration, 3D pack opening and user onboarding.   Save your spot here 👉  https://t.co/b45SG4ELBH  https://t.co/z1koOpw2lT",['nft'],en,[],algorand,264
1459196719640371206,Algorand,26,2021-11-12 16:29:43 UTC,141,"Excited to welcome @LiquidVineyard to the Algorand ecosystem as they leverage blockchain to disrupt the global wine market! The #Algorand-powered platform will connect investors &amp; wine producers, enabling anyone to purchase the rights to their own vines 👉  https://t.co/xKBccu13TN  https://t.co/o9MlU88D6x",['algorand'],en,[],algorand,574
1458911170325274628,Algorand,7,2021-11-11 21:35:02 UTC,63,"Join our next #developer office hour on Tuesday, November 16th for a session featuring AlgoMart! @DeptAgency will be giving a live demo of the first ever white-label open source platform for creating your brand’s own #NFT marketplace.   Sign up here 👉  https://t.co/b45SG4ELBH  https://t.co/YuxcraUbwI","['developer', 'nft']",en,[],algorand,272
1458875088997019653,Algorand,8,2021-11-11 19:11:40 UTC,35,.@algofiorg is looking for a talented product manager to join their team! Learn more about what they are building 👉  https://t.co/Jm2XOPrSvw,[],en,[],algorand,204
1458849535170695172,Algorand,8,2021-11-11 17:30:07 UTC,52,#AlgoFam: What do you think of Exhibitions by @VSCO? The #Algorand community has been given special early access to this highly-curated #NFT venue before it opens on November 16th 👉  https://t.co/otkdTzqPqr  🔑 Password: withhonor  https://t.co/yqIEPX6aNj,"['algofam', 'algorand', 'nft']",en,[],algorand,237
1458815263080652802,Algorand,6,2021-11-11 15:13:56 UTC,35,"📢 New Speaker! @KeatlyKHZ, CEO of @RiptideMusicGRP &amp; @Dequency_io will be joining us live at #Decipher in Miami. Don't miss your chance to tune in — register for Algorand's inaugural event today 👉  https://t.co/tBcaC2oULP  https://t.co/wgwSH5PkoA",['decipher'],en,[],algorand,172
1458615483171848192,Algorand,17,2021-11-11 02:00:05 UTC,53,"Starting in 1 hour @sgfintechfest! Don’t miss the virtual panel on #DeFi application and adoption. @silviomicali will be joined by @ASvanevik (@nansen_ai), @loi_luu (@KyberNetwork), @vijay_chetty (@dydxprotocol) and @dariussitzl (@QCPCapital).  https://t.co/nArxfoVoXg #SFF2021  https://t.co/cWzmPDpJLE","['defi', 'sff2021']",en,[],algorand,288
1458550276814622720,Algorand,5,2021-11-10 21:40:59 UTC,55,Excited to see @blocsport1 build an #NFT marketplace launchpad on Algorand for athletes &amp; sports fans 🙌,['nft'],en,[],algorand,244
