replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
2,Ripple XRP News 💥 Hedera &amp; RippleNet Connected to Fidelity FIS &amp; United ...  https://t.co/YJ6pkI9U9l via @YouTube,2021-11-12 18:45:59 UTC,[],kevin_cage_,Kevin Cage,1459231013700358151,7,45,[],en
4,Sam's Net Worth is 10x larger than CEO of JPM 😂  $20 billion   Other Billionaires are paying attention to #crypto 👀  $xrp,2021-11-11 21:43:51 UTC,['xrp'],kevin_cage_,Kevin Cage,1458913388399140872,18,100,['crypto'],en
24,$LTC took off before $XRP did last cycle.  Charts look good to me.,2021-11-11 18:22:42 UTC,"['ltc', 'xrp']",kevin_cage_,Kevin Cage,1458862765427372038,63,932,[],en
1,@XRP_OWL @SuperheroesLazy @WalletXact So awesome! $HBAR,2021-11-11 02:27:19 UTC,['hbar'],kevin_cage_,Kevin Cage,1458622338266767367,2,67,[],en
18,I'm going to catch up on sleep during the next bear market lol.  #Bitcoin $ETH $XRP #Alts #Crypto #DigitalAssets,2021-11-09 22:46:46 UTC,"['eth', 'xrp']",kevin_cage_,Kevin Cage,1458204446161256450,23,417,"['bitcoin', 'alts', 'crypto', 'digitalassets']",en
2,Institutions COMING for XRP 🌊 Ripple XRP News at SWELL TOKENIZED SERVICE...  https://t.co/LzwAmx506Y via @YouTube,2021-11-09 17:42:58 UTC,[],kevin_cage_,Kevin Cage,1458127989615570945,28,178,[],en
0,Institutions COMING for $XRP 🌊 #Ripple XRP News at SWELL TOKENIZED SERVICE...  https://t.co/LzwAmx506Y via @YouTube,2021-11-09 17:42:45 UTC,['xrp'],kevin_cage_,Kevin Cage,1458127934770790413,9,81,['ripple'],en
1,$XRP Wallets Increasing 📈📈📈,2021-11-09 16:19:20 UTC,['xrp'],kevin_cage_,Kevin Cage,1458106943449583619,60,478,[],en
9,Ripple's SWELL 2021 🌊🌊🌊  Excited to see any new developments   $XRP #XRPL,2021-11-09 15:27:02 UTC,['xrp'],kevin_cage_,Kevin Cage,1458093781769719814,53,637,['xrpl'],en
7,The #Ripple Liquidity Hub will access $BTC $ETH $LTC $ETC $BCH and $XRP from a range of exchanges and OTCs  #CryptoNews #rippleswell #XRPcommunity #RippleNet #XRP #DEX #Cryptotwitter   https://t.co/LAKpZP4QZu,2021-11-09 15:20:35 UTC,"['btc', 'eth', 'ltc', 'etc', 'bch', 'xrp']",kevin_cage_,Kevin Cage,1458092159844880384,40,222,"['ripple', 'cryptonews', 'rippleswell', 'xrpcommunity', 'ripplenet', 'xrp', 'dex', 'cryptotwitter']",en
37,Nobody puts $XRP in a corner,2021-11-08 19:12:21 UTC,['xrp'],kevin_cage_,Kevin Cage,1457788099291869185,84,1097,[],en
3,$10T CRYPTO EXPLOSION COMING! 📈  Ripple XRP Price 💲 THINK BIGGER you nee...  https://t.co/OYxuCZclqm via @YouTube,2021-11-08 18:03:55 UTC,[],kevin_cage_,Kevin Cage,1457770875537690627,12,101,[],en
23,"If you're in the crypto market, we're on the same team 👊.  #Bitcoin $ETH $XRP #ALTSEASON #Alts",2021-11-08 17:57:37 UTC,"['eth', 'xrp']",kevin_cage_,Kevin Cage,1457769291747581952,79,937,"['bitcoin', 'altseason', 'alts']",en
37,I don't think about how I can spend my money.  I think about how I can grow it.  📈  #crypto #alts #bitcoin $eth $xrp #investing,2021-11-08 04:13:50 UTC,"['eth', 'xrp']",kevin_cage_,Kevin Cage,1457561979967639555,87,876,"['crypto', 'alts', 'bitcoin', 'investing']",en
0,Just posted a photo @ XRP  https://t.co/Zv5bA9gj3m,2021-11-08 01:20:50 UTC,[],kevin_cage_,Kevin Cage,1457518442974691331,3,22,[],en
30,#Ripple's SWELL 🌊 in 2 days ⏳,2021-11-07 20:33:27 UTC,[],kevin_cage_,Kevin Cage,1457446117583560712,108,1078,['ripple'],en
31,$cspr &amp; $xrp are both expanding their presence in the UAE.,2021-11-06 15:30:05 UTC,"['cspr', 'xrp']",kevin_cage_,Kevin Cage,1457007387169148943,69,677,[],en
3,"Avalanche Foundation showcases a six-figure ecosystem fund, wXRP set to launch smart contracts on #Ethereum, and #AllianceBlock joins forces with #Flare   $XRP $ETH $XLM $ALGO #DeFi #FlareNetwork #CryptoNews    https://t.co/mWvItlKKAa",2021-11-05 20:27:14 UTC,"['xrp', 'eth', 'xlm', 'algo']",kevin_cage_,Kevin Cage,1456719776940711940,10,55,"['ethereum', 'allianceblock', 'flare', 'defi', 'flarenetwork', 'cryptonews']",en
8,XRP NEWS! 📈 2017 Fractals ETH BTC Ripple XRP Price Chart 💣Set Up For A H...  https://t.co/Qglp2zceFJ via @YouTube,2021-11-05 20:00:24 UTC,[],kevin_cage_,Kevin Cage,1456713027227725833,16,90,[],en
109,$XRP Holders are the strongest out there.  #XRPArmy,2021-11-04 20:22:38 UTC,['xrp'],kevin_cage_,Kevin Cage,1456356233166921728,240,1955,['xrparmy'],en
4,XRP DUE TO EXPLODE 💥 Ripple XRP Price Chart vs Bitcoin Dominance Alt Sea...  https://t.co/Y5TTRInFFs via @YouTube,2021-11-03 20:34:51 UTC,[],kevin_cage_,Kevin Cage,1455996921802276867,26,142,[],en
14,wXRP To Launch On The #Ethereum Blockchain In December  #XRPCommunity $XRP #XRP #DeFi $ETH #XRPARMY   https://t.co/gLpWVTwSf1,2021-11-03 19:07:32 UTC,"['xrp', 'eth']",kevin_cage_,Kevin Cage,1455974947462041604,38,191,"['ethereum', 'xrpcommunity', 'xrp', 'defi', 'xrparmy']",en
1,"Awesome. You rock, @XRP_OWL",2021-11-01 16:46:17 UTC,[],kevin_cage_,Kevin Cage,1455214623863541765,6,58,[],en
8,"🚀🍬 Happy Trick or Treating Today!  Leave a Note for Trick or Treaters telling them to   ""Buy #cryptocurrency""   #Bitcoin #Ethereum $XRP #Alts #Crypto  🎃🎃🎃📈",2021-10-30 19:49:34 UTC,['xrp'],kevin_cage_,Kevin Cage,1454535972981518339,8,71,"['cryptocurrency', 'bitcoin', 'ethereum', 'alts', 'crypto']",en
8,This entire video is one of the most bullish things in #crypto history.  A new reality unfolds. A super strange reality.   Seems like it was all planned.   https://t.co/HVkT432iNK  #Bitcoin $xrp #XRPcommunity #Ethereum $eth,2021-10-30 00:57:45 UTC,"['xrp', 'eth']",kevin_cage_,Kevin Cage,1454251140460290049,16,79,"['crypto', 'bitcoin', 'xrpcommunity', 'ethereum']",en
8,$XRP Performance Before Nov 9th SWELL   Currently at: $1.08   https://t.co/YyRyKxnjC4,2021-10-29 19:03:46 UTC,['xrp'],kevin_cage_,Kevin Cage,1454162056962355204,5,54,[],en
2,SEC Chair Gensler’s War On #Crypto Is About His Resume  #CryptoNews #SECVSRIPPLE #Ripple $XRP #XRPLedger #CryptoCommunity    https://t.co/Ku5h10DEem,2021-10-29 16:30:54 UTC,['xrp'],kevin_cage_,Kevin Cage,1454123589532270595,32,113,"['crypto', 'cryptonews', 'secvsripple', 'ripple', 'xrpledger', 'cryptocommunity']",en
1,Just posted a photo @ XRP  https://t.co/wnv6MzkZJt,2021-10-29 16:05:50 UTC,[],kevin_cage_,Kevin Cage,1454117278375624709,3,11,[],en
1,"@ISO_XRP Thanks for sharing as always, Jeff!",2021-10-29 15:20:13 UTC,[],kevin_cage_,Kevin Cage,1454105800348217347,0,11,[],en
5,Wow $XRP - Russia  Great find!   Definite Follow 👇,2021-10-29 14:39:40 UTC,['xrp'],kevin_cage_,Kevin Cage,1454095595958939650,12,128,[],en
10,⏳🚀 $XRP   Making Moves. MENA Region,2021-10-28 19:54:32 UTC,['xrp'],kevin_cage_,Kevin Cage,1453812444883820548,68,411,[],en
2,Latest Vid:  https://t.co/V7eapoSbh5  $XRP #API3   Mentions: @RaoulGMI  @X__Anderson  @wolfofwallst  @WKahneman  @BankXRP  @binance  @mcuban,2021-10-28 18:33:07 UTC,['xrp'],kevin_cage_,Kevin Cage,1453791959491952644,9,35,['api3'],en
8,"I shit you not, last night I told my friend I will interview this Legend someday   #crypto @wolfofwallst $XRP",2021-10-28 14:45:10 UTC,['xrp'],kevin_cage_,Kevin Cage,1453734590019821568,10,176,['crypto'],en
2,MOST INSANE 💥 CRYPTO NEWS Ripple XRP Price Chart 🔺 Hedera HBAR Listing f...  https://t.co/6aywd0OMaO via @YouTube,2021-10-28 00:56:59 UTC,[],kevin_cage_,Kevin Cage,1453526171988209664,29,137,[],en
8,PLEASE SUBSCRIBE!  One of the best $XRP Archives out there.,2021-10-27 23:15:16 UTC,['xrp'],kevin_cage_,Kevin Cage,1453500574788370434,23,124,[],en
2,Another $10 Trillion Coming🌊 Ripple XRP Price ✔️“TOO BIG TO IGNORE” - Re...  https://t.co/E3NIB3rHCv via @YouTube,2021-10-26 23:44:45 UTC,[],kevin_cage_,Kevin Cage,1453145607472918530,23,97,[],en
19,👇 Mastercard is a Ripple Partner  $xrp #Ripple,2021-10-26 23:03:15 UTC,['xrp'],kevin_cage_,Kevin Cage,1453135165086126090,228,950,['ripple'],en
9,$235 TRILLION MARKET 📈 Ripple XRP News BLACKROCK OWNS THE WORLD 💲 Hedera...  https://t.co/uHRxCpiIKz via @YouTube   $XRP $HBAR,2021-10-26 17:06:16 UTC,"['xrp', 'hbar']",kevin_cage_,Kevin Cage,1453045323778215940,16,133,[],en
40,"I remember during the last bull run talking to my Uber Driver about #Bitcoin, $ETH, and $XRP (Calling it Ripple in 2017)  It was cool if you knew #Bitcoin and Alts back then.  Nowadays, they say ""Oh is that like $DOGE &amp; $SHIB?""  😂😂😂",2021-10-26 16:53:50 UTC,"['eth', 'xrp', 'doge', 'shib']",kevin_cage_,Kevin Cage,1453042197662687241,19,480,"['bitcoin', 'bitcoin']",en
0,"2,000 PUMP RHYME? 💎 Ripple XRP News The Longer The Base 📈 The Higher In ...  https://t.co/mGbsCbRzBZ via @YouTube",2021-10-25 17:47:25 UTC,[],kevin_cage_,Kevin Cage,1452693295021412353,4,32,[],en
1,"""In total, the report credited #Ripple with three principles for developing Australia’s regulatory framework for digital assets.""  #CryptoNews $XRP #XRPcommmunity #XRP    https://t.co/ETgjl6huaO",2021-10-25 15:42:01 UTC,['xrp'],kevin_cage_,Kevin Cage,1452661734796320778,30,132,"['ripple', 'cryptonews', 'xrpcommmunity', 'xrp']",en
91,Ouch.  I actually had some $XRP here since they promised $FLR  Just goes to show self custody is the way.,2021-10-23 00:44:43 UTC,"['xrp', 'flr']",kevin_cage_,Kevin Cage,1451711145115521024,88,672,[],en
4,BULLISH PROOF 💣 Ripple XRP News Bitcoin Dominance Is SET! 💥 For ALTSEASO...  https://t.co/iiNm3IJSne via @YouTube,2021-10-22 22:39:51 UTC,[],kevin_cage_,Kevin Cage,1451679724137234432,10,79,[],en
12,This is one hell of a thread ✅  $QNT $XRP   Bank of England and Bank of America are both Ripple Partners and $QNT glues all these networks together.,2021-10-21 19:16:17 UTC,"['qnt', 'xrp', 'qnt']",kevin_cage_,Kevin Cage,1451266106489032708,55,240,[],en
6,“WILL MELT FACES” 💥 Ripple XRP Price Chart HBAR on Coinbase Crypto Micro...  https://t.co/hBeUO6eFtf via @YouTube   - New ODL Partners $XRP - Proof that Coinbase has been waiting to list $HBAR since early 2020 - Compounding Returns - XRP Chart - Algorand $ALGO Augmented Reality!,2021-10-21 19:09:06 UTC,"['xrp', 'hbar', 'algo']",kevin_cage_,Kevin Cage,1451264296533569539,25,127,[],en
