likes_count,name,created_at,retweets_count,id,replies_count,hashtags,language,cashtags,tweet,username
972,THEWIZARD ( dont dm u ),2021-09-07 02:23:23 UTC,34,1435066133447643139,83,[],en,"['fet', 'luna', 'anc', 'vgx', 'chz', 'ftt']",They always say. Retire on the top.   Ive done it all 💗 hope ya all made bank   Much love   $FET $LUNA $ANC $VGX $CHZ $FTT,cryptowizardd
652,THEWIZARD ( dont dm u ),2021-09-07 02:08:22 UTC,63,1435062354434314246,66,[],en,"['fet', 'fet', 'sxp', 'sol', 'luna']",$FET NEW ATH  WHERE ARE THE MFERS NOW ??? SUCK ITTTTTTT  Wizard 1  fet bottom sellers 0  $fet $sxp $sol $luna  https://t.co/evZdbYTk2i,cryptowizardd
177,THEWIZARD ( dont dm u ),2021-09-06 23:25:13 UTC,18,1435021297868750848,13,[],en,['luna'],OKE SIR LET ME CAST A SPELL  $LUNA 🌖🌖🌖🌖  https://t.co/gWrucBiT70,cryptowizardd
290,THEWIZARD ( dont dm u ),2021-09-06 22:06:31 UTC,9,1435001494420529158,28,[],en,"['luna', 'vra', 'fet', 'vgx', 'chz', 'matic']",I scammed so much People into retirement. Dont u even dare to come talk shit  $luna $vra $fet $vgx $chz $matic  https://t.co/UflfG61ROm,cryptowizardd
391,THEWIZARD ( dont dm u ),2021-09-06 21:56:48 UTC,38,1434999046868029440,26,[],en,"['luna', 'sol']",$LUNA Will follow $sol   U heard it here  🌖 send all wizard picks  https://t.co/dgDGH2Y99P,cryptowizardd
260,THEWIZARD ( dont dm u ),2021-09-06 18:47:16 UTC,24,1434951351419785218,34,[],en,"['sxp', 'sxp', 'btc', 'eth', 'luna', 'xcad', 'chz', 'ftt', 'sol']",I promise u the day i will roast all the $sxp moonboys and fudders Will come sooner then u think. And it Will be a glorius one  $SXP $BTC $ETH $LUNA $XCAD $CHZ $FTT $SOL  https://t.co/XS6SHpQmY4,cryptowizardd
157,THEWIZARD ( dont dm u ),2021-09-06 18:36:08 UTC,10,1434948548278300678,14,['whenmoon'],en,['luna'],Let me feel   #whenmoon  $LUNA 🌖  https://t.co/YiWs6oObWo,cryptowizardd
697,THEWIZARD ( dont dm u ),2021-09-06 16:23:34 UTC,26,1434915186473848834,66,['alhamdulillah'],en,"['fet', 'vgx', 'luna', 'vra', 'chz', 'matic']",My account grew from 10 k in 2021 to 230k followers today. Parabolic was duo some legandary calls such as $FET $VGX $LUNA $VRA $CHZ $MATIC  From the bottom of my heart. Thanking all my loyal followers   Much love  #Alhamdulillah  https://t.co/OPYtMiJm44,cryptowizardd
205,THEWIZARD ( dont dm u ),2021-09-06 11:10:57 UTC,17,1434836512160497667,14,[],en,"['sxp', 'luna', 'fet']",Epic by @nothingsuss   $sxp fudders $luna bottom sellers $fet bottom sellers  https://t.co/OAQEEyx2BV,cryptowizardd
554,THEWIZARD ( dont dm u ),2021-09-04 08:59:20 UTC,32,1434078617558990848,20,[],en,"['luna', 'fet']",@jasonderulo Start riding $luna and $fet  Few,cryptowizardd
849,THEWIZARD ( dont dm u ),2021-09-02 21:27:16 UTC,85,1433542063354699780,50,[],en,"['sol', 'luna']",$SOL pumping  Watch $LUNA FLY TOWARDS $50  👀✅,cryptowizardd
169,THEWIZARD ( dont dm u ),2021-09-01 15:49:37 UTC,11,1433094701205364745,20,[],en,"['ftt', 'luna', 'fet', 'chz']",Wonder why .....  $FTT $LUNA $FET $CHZ,cryptowizardd
