,datetime,asset,price_usd,marketcap_usd,circulation
121,2021-09-30 00:00:00+00:00,ETH,3001.679051738826,353421264860.0,117977211.26454325
122,2021-10-01 00:00:00+00:00,ETH,3307.5160778952013,389475327627.0,117990797.7454377
123,2021-10-02 00:00:00+00:00,ETH,3391.694346949812,399433404741.0,118004186.71315758
124,2021-10-03 00:00:00+00:00,ETH,3418.3586596174073,402619122254.0,118017531.69041348
125,2021-10-04 00:00:00+00:00,ETH,3380.089200379371,398156802049.0,118030875.78210434
126,2021-10-05 00:00:00+00:00,ETH,3518.518517366793,414510299768.0,118044297.90535276
127,2021-10-06 00:00:00+00:00,ETH,3580.562049118014,421867592042.0,118057800.39683202
128,2021-10-07 00:00:00+00:00,ETH,3587.974768107968,422788897812.0,118071049.31292698
129,2021-10-08 00:00:00+00:00,ETH,3563.7592193153064,419983193014.0,118084524.45513913
130,2021-10-09 00:00:00+00:00,ETH,3575.7168601111002,421440173778.0,118097853.29686196
131,2021-10-10 00:00:00+00:00,ETH,3425.8528528103116,403822590446.0,118111238.65643305
132,2021-10-11 00:00:00+00:00,ETH,3545.354076250341,417956526087.0,118124663.52320133
133,2021-10-12 00:00:00+00:00,ETH,3492.5732717932847,411781081166.0,118138012.82995635
134,2021-10-13 00:00:00+00:00,ETH,3606.2015802321803,425218703480.0,118151310.09651558
135,2021-10-14 00:00:00+00:00,ETH,3786.0140899272646,446474897131.0,118164679.5717272
136,2021-10-15 00:00:00+00:00,ETH,3862.634765441386,455566504000.0,118178011.54229595
137,2021-10-16 00:00:00+00:00,ETH,3830.382149137101,451814143160.0,118191540.76070867
138,2021-10-17 00:00:00+00:00,ETH,3847.104595476458,453838694184.0,118205018.66432561
139,2021-10-18 00:00:00+00:00,ETH,3748.7601406390168,442286890171.0,118218314.24526452
140,2021-10-19 00:00:00+00:00,ETH,3877.6509745210305,457545764474.0,118231781.00095473
141,2021-10-20 00:00:00+00:00,ETH,4155.992210901629,490444280909.0,118245138.2841147
142,2021-10-21 00:00:00+00:00,ETH,4054.3226805850322,478500948880.0,118258657.67125478
143,2021-10-22 00:00:00+00:00,ETH,3970.181904126345,468623912328.0,118272158.92345208
144,2021-10-23 00:00:00+00:00,ETH,4171.663531678276,492462196227.0,118285500.53267062
145,2021-10-24 00:00:00+00:00,ETH,4087.903005026591,482628847456.0,118298864.07682657
146,2021-10-25 00:00:00+00:00,ETH,4217.8769262219475,498030801217.0,118312341.94482037
147,2021-10-26 00:00:00+00:00,ETH,4131.102002775296,487840182030.0,118325780.91138026
148,2021-10-27 00:00:00+00:00,ETH,3930.2572450471234,464175061361.0,118339122.18827377
149,2021-10-28 00:00:00+00:00,ETH,4287.318631928624,506402198179.0,118352555.4837569
150,2021-10-29 00:00:00+00:00,ETH,4414.7466822498345,521512615610.0,118365919.49765852
151,2021-10-30 00:00:00+00:00,ETH,4325.650366005572,511045675623.0,118379308.196828
152,2021-10-31 00:00:00+00:00,ETH,4288.074452472309,506663636947.0,118392613.22811909
153,2021-11-01 00:00:00+00:00,ETH,4324.626793776302,511040780623.0,118406131.43296655
154,2021-11-02 00:00:00+00:00,ETH,4584.798668356236,541846540463.0,118419482.76339316
155,2021-11-03 00:00:00+00:00,ETH,4607.193607027514,544555114009.0,118432957.24005598
156,2021-11-04 00:00:00+00:00,ETH,4537.324081282544,536356841434.0,118446133.69664986
157,2021-11-05 00:00:00+00:00,ETH,4486.243405210834,530378899238.0,118459612.87138622
158,2021-11-06 00:00:00+00:00,ETH,4521.581082805599,534616843813.0,118472940.03914744
159,2021-11-07 00:00:00+00:00,ETH,4620.5545029476225,546381671971.0,118486469.54267891
160,2021-11-08 00:00:00+00:00,ETH,4812.0876135348,569094330697.0,118499799.37382576
161,2021-11-09 00:00:00+00:00,ETH,4735.06875501077,560049280556.0,118513126.140795
162,2021-11-10 00:00:00+00:00,ETH,4636.174213813707,548414296327.0,118526800.82328688
163,2021-11-11 00:00:00+00:00,ETH,4730.384038503774,559621726330.0,118540581.44331239
164,2021-11-12 00:00:00+00:00,ETH,4667.115437208397,552199380998.0,118553981.68307725
165,2021-11-13 00:00:00+00:00,ETH,4653.499248911994,550649779810.0,118567168.81891459
166,2021-11-14 00:00:00+00:00,ETH,4626.359125987281,547499259423.0,118580409.481809
167,2021-11-15 00:00:00+00:00,ETH,4557.503790450761,539410730883.0,118593717.98033386
168,2021-11-16 00:00:00+00:00,ETH,4216.365232950796,499090512787.0,118606879.8893276
169,2021-11-17 00:00:00+00:00,ETH,4287.593935491242,507579384616.0,118616756.27126426
170,2021-11-18 00:00:00+00:00,ETH,4000.650865138054,473663292938.0,118621216.25113818
171,2021-11-19 00:00:00+00:00,ETH,4298.306619546578,508960524908.0,118626793.53703417
